Player Name,Position,Team,Appearances,Minutes Played
James Tarkowski,DF,Everton,38,"3,420"
Marcus Tavernier,"MF,FW",Bournemouth,23,"1,743"
Tetê,FW,Leicester City,13,734
Kenny Tete,DF,Fulham,31,"2,569"
Luke Thomas,DF,Leicester City,17,"1,073"
Youri Tielemans,MF,Leicester City,31,"2,344"
Kieran Tierney,DF,Arsenal,27,795
Harry Toffolo,DF,Nott'ham Forest,19,940
Takehiro Tomiyasu,DF,Arsenal,21,663
James Tomkins,DF,Crystal Palace,6,338
Ivan Toney,FW,Brentford,33,"2,951"
Adama Traoré,"FW,MF",Wolves,34,"1,496"
Bertrand Traoré,"FW,MF",Aston Villa,8,233
Boubacar Traoré,MF,Wolves,10,411
Mark Travers,GK,Bournemouth,12,"1,035"
Kieran Trippier,DF,Newcastle Utd,38,"3,341"
Leandro Trossard,FW,Arsenal,20,931
Leandro Trossard,"FW,MF",Brighton,16,"1,315"
Kostas Tsimikas,DF,Liverpool,20,771
Deniz Undav,"FW,MF",Brighton,22,628
Yan Valery,DF,Southampton,1,45
Virgil van Dijk,DF,Liverpool,32,"2,835"
Raphaël Varane,DF,Manchester Utd,24,"1,911"
Jamie Vardy,FW,Leicester City,37,"1,857"
Joël Veltman,DF,Brighton,31,"2,188"
Fabio Vieira,"MF,FW",Arsenal,22,514
Matías Viña,DF,Bournemouth,12,458
Rúben Vinagre,"DF,MF",Everton,2,26
Carlos Vinícius,FW,Fulham,28,"1,109"
Theo Walcott,"FW,MF",Southampton,20,"1,129"
Kyle Walker,DF,Manchester City,27,"1,958"
Kyle Walker-Peters,DF,Southampton,31,"2,650"
Aaron Wan-Bissaka,DF,Manchester Utd,19,"1,435"
Danny Ward,GK,Leicester City,26,"2,340"
Joel Ward,DF,Crystal Palace,28,"2,256"
James Ward-Prowse,MF,Southampton,38,"3,371"
Ollie Watkins,FW,Aston Villa,37,"3,127"
Adam Webster,DF,Brighton,27,"1,985"
Wout Weghorst,"FW,MF",Manchester Utd,17,797
Danny Welbeck,FW,Brighton,31,"1,854"
Ben White,DF,Arsenal,38,"3,055"
Harvey White,MF,Tottenham,1,5
Joseph Whitworth,GK,Crystal Palace,2,180
