Player Name,Position,Team,Goals,Shots On Target,Goals Per Shot,Assists
Daniel James,FW,Fulham,2,3.0,0.14,0
Daniel James,FW,Fulham,2,3.0,0.14,0
Daniel James,FW,Fulham,2,3.0,0.14,1
Daniel James,FW,Fulham,2,3.0,0.14,1
Reece James,"DF,MF",Chelsea,1,4.0,0.06,1
Vitaly Janelt,"MF,DF",Brentford,3,5.0,0.21,1
Pontus Jansson,DF,Brentford,1,2.0,0.25,0
Mathias Jensen,MF,Brentford,5,7.0,0.22,6
Gabriel Jesus,FW,Arsenal,11,31.0,0.13,6
Raúl Jiménez,FW,Wolves,0,9.0,0.0,1
Joelinton,"MF,FW",Newcastle Utd,6,19.0,0.12,1
Ben Johnson,DF,West Ham,0,1.0,0.0,0
Brennan Johnson,"FW,MF",Nott'ham Forest,8,24.0,0.13,3
Sam Johnstone,GK,Crystal Palace,0,0.0,0.0,0
Curtis Jones,MF,Liverpool,3,5.0,0.2,1
Jorginho,MF,Arsenal,0,0.0,0.0,1
Jorginho,MF,Arsenal,0,0.0,0.0,1
Jorginho,MF,Arsenal,0,0.0,0.0,0
Jorginho,MF,Arsenal,0,0.0,0.0,0
Jorginho,MF,Chelsea,2,1.0,0.0,1
Jorginho,MF,Chelsea,2,1.0,0.0,1
Jorginho,MF,Chelsea,2,1.0,0.0,0
Jorginho,MF,Chelsea,2,1.0,0.0,0
Mateo Joseph,"FW,MF",Leeds United,0,1.0,0.0,0
Diogo Jota,FW,Liverpool,7,11.0,0.2,4
Hamed Junior Traorè,"FW,MF",Bournemouth,0,0.0,0.0,0
James Justin,DF,Leicester City,0,0.0,0.0,0
Mathias Jørgensen,DF,Brentford,0,1.0,0.0,0
Sasa Kalajdzic,FW,Wolves,0,0.0,0.0,0
Boubacar Kamara,MF,Aston Villa,0,1.0,0.0,1
Harry Kane,FW,Tottenham,30,54.0,0.2,3
N'Golo Kanté,MF,Chelsea,0,1.0,0.0,1
Michael Keane,DF,Everton,1,4.0,0.07,2
Neeskens Kebano,FW,Fulham,0,2.0,0.0,3
Thilo Kehrer,DF,West Ham,0,1.0,0.0,2
Naby Keïta,MF,Liverpool,0,0.0,0.0,0
Caoimhín Kelleher,GK,Liverpool,0,0.0,0.0,0
Lloyd Kelly,DF,Bournemouth,0,0.0,0.0,2
Max Kilman,DF,Wolves,0,0.0,0.0,0
Jakub Kiwior,DF,Arsenal,1,1.0,1.0,0
Mateusz Klich,"MF,FW",Leeds United,0,1.0,0.0,0
Robin Koch,DF,Leeds United,0,4.0,0.0,0
Ibrahima Konaté,DF,Liverpool,0,3.0,0.0,0
Ezri Konsa,DF,Aston Villa,0,0.0,0.0,0
Kalidou Koulibaly,DF,Chelsea,2,4.0,0.18,1
Cheikhou Kouyaté,MF,Nott'ham Forest,1,5.0,0.17,0
Mateo Kovačić,MF,Chelsea,1,1.0,0.04,2
Emil Krafth,DF,Newcastle Utd,0,0.0,0.0,0
Dejan Kulusevski,"MF,FW",Tottenham,2,10.0,0.05,7
Layvin Kurzawa,DF,Fulham,0,0.0,0.0,0
Adam Lallana,"MF,FW",Brighton,2,5.0,0.25,1
Tariq Lamptey,DF,Brighton,0,0.0,0.0,0
Manuel Lanzini,"MF,FW",West Ham,1,1.0,0.33,0
Aymeric Laporte,DF,Manchester City,0,1.0,0.0,0
Juan Larios,DF,Southampton,0,0.0,0.0,0
Jamaal Lascelles,DF,Newcastle Utd,0,0.0,0.0,0
Roméo Lavia,MF,Southampton,1,3.0,0.08,0
Dexter Lembikisa,DF,Wolves,0,0.0,0.0,0
Mario Lemina,MF,Wolves,0,2.0,0.0,1
Clément Lenglet,DF,Tottenham,0,2.0,0.0,2
Bernd Leno,GK,Fulham,0,0.0,0.0,0
Jefferson Lerma,MF,Bournemouth,5,10.0,0.14,0
Jamal Lewis,"DF,FW",Newcastle Utd,0,0.0,0.0,0
Rico Lewis,"DF,MF",Manchester City,0,2.0,0.0,0
Keane Lewis-Potter,"FW,MF",Brentford,0,2.0,0.0,1
Victor Lindelöf,DF,Manchester Utd,0,0.0,0.0,0
Jesse Lingard,"FW,MF",Nott'ham Forest,0,2.0,0.0,0
Valentino Livramento,"DF,FW",Southampton,0,0.0,0.0,0
Diego Llorente,DF,Leeds United,0,0.0,0.0,0
Hugo Lloris,GK,Tottenham,0,0.0,0.0,0
Renan Lodi,DF,Nott'ham Forest,0,0.0,0.0,1
Ruben Loftus-Cheek,"MF,DF",Chelsea,0,2.0,0.0,1
Sean Longstaff,MF,Newcastle Utd,1,7.0,0.03,4
Jamal Lowe,"MF,FW",Bournemouth,0,0.0,0.0,0
Douglas Luiz,MF,Aston Villa,6,12.0,0.18,6
Saša Lukić,MF,Fulham,0,1.0,0.0,0
Lyanco,DF,Southampton,1,4.0,0.08,1
Alexis Mac Allister,MF,Brighton,10,28.0,0.05,2
James Maddison,"MF,FW",Leicester City,10,27.0,0.11,9
Noni Madueke,FW,Chelsea,1,6.0,0.08,0
Harry Maguire,DF,Manchester Utd,0,0.0,0.0,0
Riyad Mahrez,"FW,MF",Manchester City,5,12.0,0.1,10
Kobbie Mainoo,MF,Manchester Utd,0,0.0,0.0,0
Ainsley Maitland-Niles,"DF,MF",Southampton,0,1.0,0.0,0
Tyrell Malacia,DF,Manchester Utd,0,2.0,0.0,0
Orel Mangala,MF,Nott'ham Forest,1,3.0,0.11,1
Javier Manquillo,DF,Newcastle Utd,0,0.0,0.0,0
Sekou Mara,"FW,MF",Southampton,1,4.0,0.06,2
Solly March,"FW,DF",Brighton,7,31.0,0.09,7
Emiliano Marcondes,MF,Bournemouth,0,0.0,0.0,0
Marquinhos,MF,Arsenal,0,0.0,0.0,0
Anthony Martial,FW,Manchester Utd,6,12.0,0.19,2
Martinelli,FW,Arsenal,15,30.0,0.19,5
Emiliano Martínez,GK,Aston Villa,0,0.0,0.0,0
Lisandro Martínez,DF,Manchester Utd,1,1.0,0.1,0
Pape Matar Sarr,"MF,FW",Tottenham,0,0.0,0.0,1
Jean-Philippe Mateta,FW,Crystal Palace,2,7.0,0.07,0
Joël Matip,DF,Liverpool,1,3.0,0.2,0
Neal Maupay,FW,Everton,1,13.0,0.03,0
Kevin Mbabu,"DF,FW",Fulham,0,0.0,0.0,1
Bryan Mbeumo,FW,Brentford,9,32.0,0.11,8
James McArthur,MF,Crystal Palace,0,0.0,0.0,0
Alex McCarthy,GK,Southampton,0,0.0,0.0,0
John McGinn,"MF,FW",Aston Villa,1,11.0,0.02,3
Scott McKenna,DF,Nott'ham Forest,0,0.0,0.0,0
Weston McKennie,MF,Leeds United,0,2.0,0.0,1
Dwight McNeil,"FW,MF",Everton,7,15.0,0.15,3
Scott McTominay,MF,Manchester Utd,1,6.0,0.08,0
Ben Mee,DF,Brentford,3,7.0,0.11,1
Edouard Mendy,GK,Chelsea,0,0.0,0.0,0
Nampalys Mendy,MF,Leicester City,1,1.0,0.5,0
Chris Mepham,DF,Bournemouth,0,4.0,0.0,0
Illan Meslier,GK,Leeds United,0,1.0,0.0,0
Alexander Mighten,FW,Nott'ham Forest,0,0.0,0.0,0
Lewis Miley,MF,Newcastle Utd,0,0.0,0.0,0
Luka Milivojević,MF,Crystal Palace,0,0.0,0.0,0
James Milner,"MF,DF",Liverpool,0,1.0,0.0,1
Yerry Mina,DF,Everton,2,4.0,0.25,0
Tyrone Mings,DF,Aston Villa,1,2.0,0.14,2
Tyrick Mitchell,DF,Crystal Palace,0,1.0,0.0,2
Kaoru Mitoma,"FW,MF",Brighton,7,21.0,0.13,5
Aleksandar Mitrović,FW,Fulham,14,27.0,0.12,1
Kieffer Moore,FW,Bournemouth,4,8.0,0.17,0
Andrew Moran,FW,Brighton,0,0.0,0.0,0
Álex Moreno,DF,Aston Villa,0,3.0,0.0,3
Mason Mount,"MF,FW",Chelsea,3,9.0,0.09,2
Lucas Moura,"MF,DF",Tottenham,1,1.0,0.25,0
João Moutinho,MF,Wolves,0,3.0,0.0,2
Divin Mubama,FW,West Ham,0,0.0,0.0,0
Mykhailo Mudryk,"FW,MF",Chelsea,0,5.0,0.0,2
Jacob Murphy,FW,Newcastle Utd,4,10.0,0.14,2
Enock Mwepu,"FW,MF",Brighton,0,1.0,0.0,1
Vitaliy Mykolenko,DF,Everton,0,3.0,0.0,0
Keylor Navas,GK,Nott'ham Forest,0,0.0,0.0,0
Wilfred Ndidi,MF,Leicester City,0,2.0,0.0,0
Reiss Nelson,FW,Arsenal,3,7.0,0.25,2
Neto,GK,Bournemouth,0,0.0,0.0,0
Pedro Neto,"FW,MF",Wolves,0,3.0,0.0,0
Rúben Neves,MF,Wolves,6,13.0,0.05,1
Moussa Niakhate,DF,Nott'ham Forest,0,3.0,0.0,0
Rasmus Nissen,DF,Leeds United,3,5.0,0.23,1
Eddie Nketiah,FW,Arsenal,4,14.0,0.1,1
Matheus Nunes,MF,Wolves,1,9.0,0.04,1
Darwin Núñez,FW,Liverpool,9,35.0,0.11,3
Ethan Nwaneri,FW,Arsenal,0,0.0,0.0,0
Christian Nørgaard,MF,Brentford,1,8.0,0.05,3
Lewis O'Brien,MF,Nott'ham Forest,1,2.0,0.14,0
Odeluga Offiah,DF,Brighton,0,0.0,0.0,0
Angelo Ogbonna,DF,West Ham,0,0.0,0.0,0
Michael Olise,"FW,MF",Crystal Palace,2,14.0,0.04,11
Robin Olsen,GK,Aston Villa,0,0.0,0.0,0
Amadou Onana,MF,Everton,1,6.0,0.03,2
Josh Onomah,MF,Fulham,0,0.0,0.0,0
Paul Onuachu,FW,Southampton,0,5.0,0.0,0
Frank Onyeka,MF,Brentford,0,4.0,0.0,2
Mislav Oršić,MF,Southampton,0,0.0,0.0,0
